Xpositon	Ypositon	Counts
-0.138462	-0.056410	2050.000000000
-0.148718	-0.056410	1900.000000000
-0.158974	-0.056410	1800.000000000
-0.169231	-0.056410	2290.000000000
-0.179487	-0.056410	2160.000000000
-0.189744	-0.056410	2200.000000000
-0.200000	-0.056410	1750.000000000
0.200000	-0.046154	2340.000000000
0.189744	-0.046154	2320.000000000
0.179487	-0.046154	1930.000000000
0.169231	-0.046154	2380.000000000
0.158974	-0.046154	2970.000000000
0.148718	-0.046154	2640.000000000
0.138462	-0.046154	2630.000000000
0.128205	-0.046154	2770.000000000
0.117949	-0.046154	2860.000000000
0.107692	-0.046154	2500.000000000
0.097436	-0.046154	2320.000000000
0.087179	-0.046154	2760.000000000
0.076923	-0.046154	2700.000000000
0.066667	-0.046154	2650.000000000
0.056410	-0.046154	2460.000000000
0.046154	-0.046154	2360.000000000
0.035897	-0.046154	2450.000000000
0.025641	-0.046154	2280.000000000
0.015385	-0.046154	2450.000000000
0.005128	-0.046154	3230.000000000
-0.005128	-0.046154	2750.000000000
-0.015385	-0.046154	2520.000000000
-0.025641	-0.046154	2400.000000000
-0.035897	-0.046154	2180.000000000
-0.046154	-0.046154	2450.000000000
-0.056410	-0.046154	2500.000000000
-0.066667	-0.046154	2600.000000000
-0.076923	-0.046154	2340.000000000
-0.087179	-0.046154	2480.000000000
-0.097436	-0.046154	2430.000000000
-0.107692	-0.046154	2390.000000000
-0.117949	-0.046154	2800.000000000
-0.128205	-0.046154	2560.000000000
-0.138462	-0.046154	2510.000000000
-0.148718	-0.046154	2690.000000000
-0.158974	-0.046154	2650.000000000
-0.169231	-0.046154	2510.000000000
-0.179487	-0.046154	2550.000000000
-0.189744	-0.046154	2730.000000000
-0.200000	-0.046154	2760.000000000
0.200000	-0.035897	3070.000000000
0.189744	-0.035897	3250.000000000
0.179487	-0.035897	3070.000000000
0.169231	-0.035897	3220.000000000
0.158974	-0.035897	3540.000000000
0.148718	-0.035897	3210.000000000
0.138462	-0.035897	3910.000000000
0.128205	-0.035897	3500.000000000
0.117949	-0.035897	3570.000000000
0.107692	-0.035897	3610.000000000
0.097436	-0.035897	3270.000000000
0.087179	-0.035897	3660.000000000
0.076923	-0.035897	4320.000000000
0.066667	-0.035897	4050.000000000
0.056410	-0.035897	4190.000000000
0.046154	-0.035897	3750.000000000
0.035897	-0.035897	3850.000000000
0.025641	-0.035897	4280.000000000
0.015385	-0.035897	3560.000000000
0.005128	-0.035897	4140.000000000
-0.005128	-0.035897	3570.000000000
-0.015385	-0.035897	3640.000000000
-0.025641	-0.035897	4190.000000000
-0.035897	-0.035897	3940.000000000
-0.046154	-0.035897	4150.000000000
-0.056410	-0.035897	4180.000000000
-0.066667	-0.035897	4230.000000000
-0.076923	-0.035897	3940.000000000
-0.087179	-0.035897	4340.000000000
-0.097436	-0.035897	4280.000000000
-0.107692	-0.035897	4400.000000000
-0.117949	-0.035897	3940.000000000
-0.128205	-0.035897	3970.000000000
-0.138462	-0.035897	3750.000000000
-0.148718	-0.035897	4960.000000000
-0.158974	-0.035897	4600.000000000
-0.169231	-0.035897	5100.000000000
-0.179487	-0.035897	5770.000000000
-0.189744	-0.035897	6010.000000000
-0.200000	-0.035897	6340.000000000
0.200000	-0.025641	4900.000000000
0.189744	-0.025641	5700.000000000
0.179487	-0.025641	5480.000000000
0.169231	-0.025641	8840.000000000
0.158974	-0.025641	7780.000000000
0.148718	-0.025641	8270.000000000
0.138462	-0.025641	7410.000000000
0.128205	-0.025641	9140.000000000
0.117949	-0.025641	8960.000000000
0.107692	-0.025641	9370.000000000
0.097436	-0.025641	8590.000000000
0.087179	-0.025641	8620.000000000
0.076923	-0.025641	9540.000000000
0.066667	-0.025641	10310.000000000
0.056410	-0.025641	9330.000000000
0.046154	-0.025641	9640.000000000
0.035897	-0.025641	9600.000000000
0.025641	-0.025641	8910.000000000
0.015385	-0.025641	9980.000000000
0.005128	-0.025641	9820.000000000
-0.005128	-0.025641	8860.000000000
-0.015385	-0.025641	9870.000000000
-0.025641	-0.025641	8400.000000000
-0.035897	-0.025641	8010.000000000
-0.046154	-0.025641	9500.000000000
-0.056410	-0.025641	9530.000000000
-0.066667	-0.025641	10470.000000000
-0.076923	-0.025641	10590.000000000
-0.087179	-0.025641	10230.000000000
-0.097436	-0.025641	9720.000000000
-0.107692	-0.025641	11100.000000000
-0.117949	-0.025641	10900.000000000
-0.128205	-0.025641	10820.000000000
-0.138462	-0.025641	10720.000000000
-0.148718	-0.025641	9030.000000000
-0.158974	-0.025641	9140.000000000
-0.169231	-0.025641	7700.000000000
-0.179487	-0.025641	8050.000000000
-0.189744	-0.025641	9700.000000000
-0.200000	-0.025641	9270.000000000
0.200000	-0.015385	13620.000000000
0.189744	-0.015385	13710.000000000
0.179487	-0.015385	11830.000000000
0.169231	-0.015385	13590.000000000
0.158974	-0.015385	13690.000000000
0.148718	-0.015385	13230.000000000
0.138462	-0.015385	13320.000000000
0.128205	-0.015385	12680.000000000
